canonical_event_id,date,year,year_status,district,primary_event_type,tehsil,panchayat_village,fatalities,missing_persons,injured_persons,livestock_lost,houses_damaged_fully,houses_damaged_partially,financial_loss_inr_lakh,infrastructure_damage,source_count,classification_confidence,primary_source,event_summary
CANON_20110811_SHI_RAM,2011-08-11,2011,COMPLETE,Shimla,Cloudburst,Rampur,Nankhari,1,0,0,4,3,5,25.0,"Local link road blocked, pedestrian pathway eroded",1,HIGH,hpsdma_disaster_analysis_lr3_2007_2015.pdf,Cloudburst in Nankhari area of Rampur tehsil triggered localized flash runoff and house collapse.
CANON_20140814_KUL_KUL,2014-08-14,2014,COMPLETE,Kullu,Cloudburst,Kullu,Lug Valley,1,0,2,8,2,7,45.0,"Lug Valley link road blocked, agricultural land eroded",1,HIGH,hpsdma_disaster_analysis_lr3_2007_2015.pdf,Severe cloudburst in Lug valley causing rapid debris torrent into Sarvari nullah.
CANON_20160812_MAN_PAD,2016-08-12,2016,COMPLETE,Mandi,Cloudburst,Padhar,Padhar & Jogindernagar nullahs,5,0,4,12,8,15,120.0,"NH-154 Mandi-Pathankot highway blocked, culverts destroyed",1,HIGH,hpsdma_memo_monsoon_2016.pdf,Torrential cloudburst in Padhar sub-division causing debris flows and residential damages.
CANON_20160703_KUL_BAN,2016-07-03,2016,COMPLETE,Kullu,Cloudburst,Banjar,Hamni Village (Tirthan Valley),8,0,3,20,6,12,230.0,"Trout Fish Farm Hamni completely destroyed, footbridges swept away",1,HIGH,hpsdma_memo_monsoon_2016.pdf,Intense cloudburst over Tirthan catchment destroying state trout hatchery and inundating Hamni village.
CANON_20160812_SHI_SUN,2016-08-12,2016,COMPLETE,Shimla,Cloudburst,Sunni,Sunni & Rampur periphery,9,5,6,15,11,24,360.0,"Sutlej riverside road severed, PWD rural link bridges damaged",1,HIGH,hpsdma_memo_monsoon_2016.pdf,Cloudburst triggered multiple mudslides across Sunni and Rampur sub-divisions.
CANON_20170812_MAN_PAD,2017-08-12,2017,COMPLETE,Mandi,Cloudburst,Padhar,Kotrupi (NH-154),48,0,5,30,12,18,1500.0,"NH-154 Mandi-Pathankot highway buried under 50m mud, 2 HRTC buses buried",1,HIGH,hpsdma_memo_monsoon_2017.pdf,Late night cloudburst over Kotrupi ridge triggering massive debris avalanche engulfing highway and passenger buses.
CANON_20180923_KUL_MAN,2018-09-23,2018,COMPLETE,Kullu,Cloudburst,Manali,Palchan and Solang Valley,3,0,2,14,5,9,450.0,"Manali-Leh highway cutoff, Beas river burst banks sweeping Volvo bus stand",1,HIGH,hpsdma_memo_monsoon_2018.pdf,Unprecedented late September cloudburst and snowmelt surge sweeping Manali town periphery.
CANON_20190818_SHI_ROH,2019-08-18,2019,COMPLETE,Shimla,Cloudburst,Rohru,Tikker and Chirgaon,4,2,5,18,8,14,320.0,Rural water pipelines and footbridges severed,1,HIGH,hpsdma_memo_monsoon_2019.pdf,Localized cloudburst in Tikker-Rohru apple belt washing away farm link roads and settlements.
CANON_20200810_KUL_ANN,2020-08-10,2020,COMPLETE,Kullu,Cloudburst,Anni,Pani Nullah,2,0,1,6,2,4,85.0,"Anni-Aut road blocked, culvert damaged",1,HIGH,hpsdma_memo_monsoon_2020.pdf,Sudden cloudburst in Pani nullah washing debris onto link roads.
CANON_20210712_KAN_DHA,2021-07-12,2021,COMPLETE,Kangra,Cloudburst and Flash Flood,Dharamshala,Bhagsunag and Boh Village,10,1,8,22,15,25,850.0,"Dharamshala-Kangra road blocked, parking lot swept into Bhagsunag nullah",2,HIGH,hpsdma_memo_monsoon_2021.pdf,Severe cloudburst triggering catastrophic mudflow in Boh village and urban torrent in Bhagsunag.
